state,city,population,incident_count,per_capita,lat,lng
California,Oakland,439349,810,184.36368354087526,37.7904,-122.2166
California,Eureka,26547,37,139.3754473198478,40.7943,-124.1564
California,Desert Hot Springs,32529,45,138.3380983122752,33.955,-116.5429
California,Salinas,163687,198,120.96256880509753,36.6883,-121.6317
California,Richmond,116287,115,98.89325547997626,37.9477,-122.3389
California,Compton,95959,91,94.83216790504278,33.893,-118.2274
California,Fresno,542161,495,91.30129242051716,36.783,-119.7939
California,San Bernardino,221898,194,87.42755680537906,34.1416,-117.2943
California,Antioch,115360,98,84.95145631067962,37.9787,-121.796
California,Stockton,320759,266,82.92830442793499,37.9765,-121.3109
California,Bakersfield,402907,319,79.17459860464078,35.3529,-119.0359
California,Merced,86141,53,61.52703126269721,37.3057,-120.4779
California,Sacramento,522754,318,60.831672258844506,38.5677,-121.4685
California,Norwalk,102910,59,57.331649013701295,33.9069,-118.0829
California,Atwater,31819,18,56.56997391495647,37.3529,-120.5959
California,Oxnard,202185,106,52.42723248510028,34.1964,-119.1815
California,Watsonville,52739,27,51.19550996416314,36.9206,-121.7708
California,Pomona,151554,77,50.80697309209919,34.0585,-117.7626
California,Vallejo,126035,63,49.98611496806443,38.1125,-122.2342
California,Long Beach,466302,233,49.96761755257323,33.7977,-118.167
California,Santa Ana,310538,154,49.591354359208864,33.7367,-117.8819
California,Modesto,218471,103,47.14584544401774,37.6375,-121.0028
California,Cathedral City,51535,24,46.570292034539634,33.8362,-116.4642
California,Delano,51845,24,46.29183142058058,35.7662,-119.2635
California,El Cerrito,25977,12,46.1947107056242,37.9196,-122.3025
California,Visalia,141561,65,45.91660132381094,36.3276,-119.3269
California,Coachella,41987,19,45.25210184104604,33.6905,-116.143
California,Palm Springs,44561,20,44.882296178272476,33.8017,-116.5382
California,San Pablo,32109,14,43.60148245040331,37.9629,-122.3426
California,Indio,89127,38,42.63578937920047,33.7346,-116.2346
California,Azusa,49757,21,42.205116867978376,34.1386,-117.9124
California,Chico,102849,41,39.86426703225116,39.7578,-121.8161
California,Pasadena,138679,55,39.659934092400434,34.1597,-118.139
California,Madera,66316,26,39.206224742143675,36.963,-120.0778
California,Santa Paula,30713,12,39.071402988962326,34.3545,-119.0656
California,Inglewood,107961,41,37.97667676290512,33.9566,-118.3444
California,Whittier,87383,33,37.764782623622445,33.9678,-118.0188
California,La Puente,38166,13,34.06173033590106,34.0323,-117.9533
California,Banning,29528,10,33.86616093199675,33.946,-116.8992
California,Hemet,89855,30,33.387123699293305,33.7341,-116.9969
California,Twentynine Palms,27420,9,32.822757111597376,34.1478,-116.0659
California,San Francisco,873965,284,32.49558048663276,37.7558,-122.4449
California,Pico Rivera,62215,20,32.146588443301454,33.9901,-118.0888
California,Fairfield,119793,38,31.72138605761605,38.2583,-122.0335
California,Lodi,66409,21,31.622219879835566,38.1218,-121.2932
California,San Jacinto,53946,17,31.512994475957438,33.797,-116.9916
California,Hayward,163635,50,30.555810187307117,37.6328,-122.0766
California,Tulare,68880,21,30.48780487804878,36.1995,-119.34
California,Santa Cruz,62341,19,30.47753484865498,36.9789,-122.0346
California,Santa Maria,109903,33,30.02647789414302,34.9333,-120.4431
California,Lynwood,67139,20,29.788945322390862,33.924,-118.2016
California,Gardena,61069,18,29.474856310075488,33.8943,-118.3072
California,Turlock,72645,21,28.907701837703904,37.5053,-120.8588
California,Redding,93559,27,28.85879498498274,40.5698,-122.365
California,Pittsburg,76439,22,28.781119585551878,38.0182,-121.8965
