state,city,population,incident_count,per_capita,lat,lng
Maryland,Baltimore,585708,2794,477.0295095849809,39.3051,-76.6144
Pennsylvania,Philadelphia,1603797,2433,151.70249102598396,40.0077,-75.1339
Louisiana,New Orleans,383997,1938,504.6914429018977,30.0687,-89.9288
Tennessee,Memphis,632207,1732,273.96090204632344,35.1087,-89.9663
Texas,Houston,2302792,1688,73.30232170339309,29.786,-95.3885
District of Columbia,Washington,689545,1408,204.19261977100842,38.9047,-77.0163
Indiana,Indianapolis,897123,1348,150.2581028465439,39.7771,-86.1458
Ohio,Cleveland,373091,1294,346.8322741636759,41.4764,-81.6805
Florida,Jacksonville,949577,1192,125.5295779067943,30.3322,-81.6749
Texas,San Antonio,1434270,1182,82.4112614779644,29.4632,-98.5238
Michigan,Detroit,639614,1070,167.28839581372517,42.3834,-83.1024
Ohio,Columbus,880203,1002,113.83737615072887,39.9862,-82.9855
Nevada,Las Vegas,641825,975,151.9105675222997,36.2333,-115.2654
California,Los Angeles,3893986,834,21.417642487672016,34.1141,-118.4068
Missouri,Kansas City,507969,826,162.60834814722946,39.1238,-94.5541
North Carolina,Charlotte,874541,825,94.33519983625696,35.2083,-80.8303
California,Oakland,439349,810,184.36368354087526,37.7904,-122.2166
Ohio,Cincinnati,310242,801,258.1855454774015,39.1413,-84.506
Georgia,Atlanta,498602,754,151.2228190019294,33.7628,-84.422
Alabama,Birmingham,200763,751,374.0729118413254,33.5279,-86.7971
Virginia,Richmond,226610,731,322.5806451612903,37.5295,-77.4756
Texas,Dallas,1304442,689,52.819519764006365,32.7935,-96.7667
Oklahoma,Tulsa,412458,652,158.07670114290426,36.1283,-95.9042
Pennsylvania,Pittsburgh,303160,644,212.42908035360867,40.4397,-79.9763
Arizona,Phoenix,1607739,631,39.2476639554057,33.5722,-112.0892
Louisiana,Baton Rouge,225128,622,276.2872676877154,30.442,-91.1311
Mississippi,Jackson,153643,603,392.4682543298426,32.3157,-90.2125
Florida,Orlando,307674,588,191.11137112658204,28.4773,-81.337
Ohio,Toledo,270726,585,216.0856363999025,41.6638,-83.5827
Arkansas,Little Rock,202514,575,283.9309874872848,34.7256,-92.3577
Florida,Miami,442265,572,129.33422269453834,25.784,-80.2101
Massachusetts,Boston,676216,570,84.29259289931028,42.3188,-71.0852
New York,Buffalo,278302,564,202.65754468167674,42.9018,-78.8487
Delaware,Wilmington,70941,554,780.9306324974274,39.7415,-75.5416
Louisiana,Shreveport,187993,549,292.0321501332496,32.4653,-93.7955
Georgia,Savannah,148095,538,363.2803268172457,32.0286,-81.1821
Nebraska,Omaha,490627,536,109.24796230130018,41.2627,-96.0529
Tennessee,Chattanooga,181234,514,283.61124292351326,35.066,-85.2481
Oklahoma,Oklahoma City,681387,509,74.70057397631597,35.4676,-97.5136
California,Fresno,542161,495,91.30129242051716,36.783,-119.7939
New York,Rochester,211233,485,229.60427584705042,43.168,-77.6162
Virginia,Norfolk,238005,476,199.99579840759648,36.8945,-76.259
New Jersey,Newark,310876,473,152.1506967408227,40.7245,-74.1725
New Jersey,Trenton,90857,437,480.9755990182374,40.2237,-74.7641
Michigan,Flint,81381,419,514.8621914206019,43.0236,-83.6921
North Carolina,Durham,283547,409,144.24416410683236,35.9792,-78.9022
Georgia,Columbus,206922,397,191.85973458597925,32.51,-84.8771
New Mexico,Albuquerque,564563,396,70.14274757644408,35.1054,-106.6465
Alabama,Montgomery,200567,379,188.96428624848554,32.3482,-86.2668
Indiana,Gary,68982,378,547.9690354005393,41.5905,-87.3473
New York,Syracuse,147363,377,255.83083949159558,43.0407,-76.1437
Colorado,Denver,715522,376,52.54904810753548,39.762,-104.8758
Alabama,Mobile,186833,364,194.82639576520208,30.6782,-88.1162
Indiana,Fort Wayne,263852,364,137.95612691963677,41.0888,-85.1436
Kansas,Wichita,397070,363,91.41964892840053,37.6895,-97.3443
Illinois,Rockford,149009,363,243.6094464092773,42.2596,-89.064
Minnesota,Minneapolis,428403,360,84.03302497881667,44.9635,-93.2678
Virginia,Newport News,186247,352,188.9963328268375,37.1051,-76.5185
South Carolina,Columbia,137300,342,249.08958485069192,34.0378,-80.9036
Texas,Fort Worth,918377,328,35.71518014932865,32.7817,-97.3474
North Carolina,Greensboro,297899,324,108.76169439977978,36.0956,-79.8271
California,Bakersfield,402907,319,79.17459860464078,35.3529,-119.0359
California,Sacramento,522754,318,60.831672258844506,38.5677,-121.4685
Oregon,Portland,652089,317,48.61299607875612,45.5371,-122.65
Connecticut,Bridgeport,148692,315,211.84730853038496,41.1918,-73.1954
Florida,Tampa,382769,313,81.77255733876045,27.9945,-82.4447
Washington,Seattle,735157,306,41.6237619991376,47.6211,-122.3244
Colorado,Colorado Springs,479260,304,63.43112298126278,38.8674,-104.7605
New Jersey,Jersey City,292412,296,101.22703582616309,40.7184,-74.0686
Florida,West Palm Beach,117151,294,250.95816510315746,26.7469,-80.132
California,San Francisco,873965,284,32.49558048663276,37.7558,-122.4449
